OBJECTID,AxeBrue_IDB_merged_140219_Snapped_OBJECTID,AxeBrue_IDB_merged_140219_Snapped_Water_leve,AxeBrue_IDB_merged_140219_Snapped_Owned_by,AxeBrue_IDB_merged_140219_Snapped_Operated_b,AxeBrue_IDB_merged_140219_Snapped_Watercours,AxeBrue_IDB_merged_140219_Snapped_Descriptio,AxeBrue_IDB_merged_140219_Snapped_X,AxeBrue_IDB_merged_140219_Snapped_Y,AxeBrue_IDB_merged_140219_Snapped_Lat,AxeBrue_IDB_merged_140219_Snapped_Long_,AxeBrue_IDB_merged_140219_Snapped_Source,AxeBrue_IDB_merged_140219_Snapped_Enabled,AxeBrue_IDB_merged_140219_Snapped_NEAR_FID,AxeBrue_IDB_merged_140219_Snapped_NEAR_DIST,AxeBrue_IDB_merged_140219_Snapped_NEAR_X,AxeBrue_IDB_merged_140219_Snapped_NEAR_Y,AxeBrue_IDB_merged_140219_Snapped_Dimensions,AxeBrue_IDB_merged_140219_Snapped_FID_1,AxeBrue_IDB_merged_140219_Snapped_Structure,AxeBrue_IDB_merged_140219_Snapped_structure_,AxeBrue_IDB_merged_140219_Snapped_Count_,AxeBrue_IDB_merged_140219_Snapped_AncillaryR,AxeBrue_IDB_merged_140219_Snapped_AncillaryRole,AxeBrue_IDB_merged_140219_Snapped_SnapDist,AxeBrue_IDB_merged_140219_Snapped_ForcedMove,AxeBrue_IDB_merged_140219_Snapped_SnapQual,AxeBrue_IDB_merged_140219_Snapped_SrchName,AxeBrueIDB_Sum_Output_OBJECTID,AxeBrueIDB_Sum_Output_FREQUENCY,AxeBrueIDB_Sum_Output_SiteID,DistFromLn,DistAlngLn,SiteID,FREQUENCY,OID_1,Object,SnapDist,ForcedMove,SnapQual,SrchName,US_Accum3,USLength,SUM_USLength,AvailUSNet
60,60,Hackness Sluice,EA,EA,River Brue,Large penstock,333230,146210,51.211174,-2.9572606,North Drain,1,1080,2.841718426,333230.9124,146212.6913,Trench sheet dam stop-log structure.,,,,,,,0,N,"Nearest Polyline, no name check",n/a,60,1,60,3.62161E-05,0.106629618,60,2,,60,0,N,"Nearest Polyline, no name check",n/a,9992.162109,6841.297852,0,6841.297852
176,176,,,,,,333028,146493,,,AxeBrueIDB_structures+N,1,386,0.204717278,333028.0835,146492.8131,,72,H22,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,172,1,176,1.29545E-05,0.015880454,176,1,,176,0,N,"Nearest Polyline, no name check",n/a,8059.923828,6597.062012,0,6597.062012
357,357,,,,,,340895,144337,,,AxeBrueIDB_structures+N,1,1083,7.864513109,340892.4454,144329.5619,,253,W18,Valve (Inlet),2,,,0,N,"Nearest Polyline, no name check",n/a,346,3,357,2.91399E-05,0.229633272,357,1,,357,0,N,"Nearest Polyline, no name check",n/a,19302.75977,15315.64258,10813.57715,4502.06543
220,220,,,,,,336737,147390,,,AxeBrueIDB_structures+N,1,409,153.004187,336662.2985,147256.4711,,116,M26,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,213,1,220,0,0.053932369,220,1,,220,0,N,"Nearest Polyline, no name check",n/a,7150.209961,4394.443359,0,4394.443359
273,273,,,,,,350823,143925,,,AxeBrueIDB_structures+N,1,85,0.9024965,350822.5448,143925.7793,,169,UB24,Flap valve,0,,,0,N,"Nearest Polyline, no name check",n/a,264,1,273,8.64041E-06,0.99941051,273,1,,273,0,N,"Nearest Polyline, no name check",n/a,4195.459473,4192.986328,0,4192.986328
314,314,,,,,,345280,144687,,,AxeBrueIDB_structures+N,1,1127,13.41457424,345281.3353,144700.348,,210,UB66,Tilting Weir,0,,,0,N,"Nearest Polyline, no name check",n/a,304,10,314,4.95012E-05,0.628476143,314,1,,314,0,N,"Nearest Polyline, no name check",n/a,23252.23633,20514.29492,16381.92188,4132.373047
235,235,,,,,,345851,152115,,,AxeBrueIDB_structures+N,1,229,0.948550279,345850.2981,152115.6381,,131,UA15,Penstock,0,,,0,N,"Nearest Polyline, no name check",n/a,227,1,235,4.61685E-05,0.285137773,235,1,,235,0,N,"Nearest Polyline, no name check",n/a,21592.32031,21582.19727,17468.21354,4113.983727
113,113,,,,,,332263,148393,,,AxeBrueIDB_structures+N,1,313,4.567192326,332258.5722,148391.8803,,9,B07,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a,111,2,113,2.83161E-05,0.994325578,113,1,,113,0,N,"Nearest Polyline, no name check",n/a,4092.246094,4074.797119,0,4074.797119
215,215,,,,,,336799,145134,,,AxeBrueIDB_structures+N,1,1081,21.25206372,336796.7433,145112.8681,,111,M21,Flap valve,0,,,0,N,"Nearest Polyline, no name check",n/a,208,1,215,7.5252E-06,0.420839518,215,1,,215,0,N,"Nearest Polyline, no name check",n/a,11633.40723,10682.86328,6841.297852,3841.56543
309,309,,,,,,354771,132943,,,AxeBrueIDB_structures+N,1,298,12.2153479,354758.958,132940.9494,,205,UB61,Stoplogs,0,,,0,N,"Nearest Polyline, no name check",n/a,300,5,309,7.52227E-06,0.001691833,309,1,,309,2.140000105,Y,"Nearest Polyline, no name check",n/a,37636.66016,36373.65234,32570.48828,3803.164062
