OBJECTID_12,OBJECTID,ObjectID_1,Water_leve,Grid_ref_,Owned_by,Operated_b,Watercours,Descriptio,X,Y,Lat,Long_,Source,Enabled,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,Dimensions,FID_1,Structure,structure_,Count_,AncillaryR,AncillaryRole,SnapDist,ForcedMove,SnapQual,SrchName
72,72,20,Tealham RWLA SL3, ,EA,EA,Non Main River,Penning boards,340780,145350,51.204276,-2.8490461,North Drain,1,203,18.3951245,340798.3889,145349.5215,Trench sheet dam stop-log structure.,,,Unknown,,,,2.753000021,Y,"Nearest Polyline, no name check",n/a
73,73,21,Tealham RWLA SL4, ,EA,EA,Non Main River,Penning boards,340220,145340,51.204128,-2.8570592,North Drain,1,406,1.837714368,340219.2606,145338.3176,Trench sheet dam stop-log structure.,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
74,74,22,Tealham RWLA SP1, ,EA,EA,Brue Inlet,Culvert & penstock,340890,144350,51.195297,-2.8473068,North Drain,1,307,2.696189684,340892.6873,144350.2185,300mm culvert with Penstock valve mounted midway along the culvert,,,Culvert,,,,1.264999986,N,"Nearest Polyline, no name check",n/a
75,75,23,Totney Drove Inlet No 1, ,EA,EA,River Brue,Penstock,342440,143380,51.186734,-2.8249714,North Drain,1,1083,5.08435657,342437.6031,143375.5161,18? culvert with penstock,,,Penstock,,,,0,N,"Nearest Polyline, no name check",n/a
76,76,24,Totney Drove Inlet No 2, ,EA,EA,River Brue,Penstock,342920,143150,51.184714,-2.8180675,North Drain,1,1083,8.438288314,342917.7452,143141.8685,18? culvert with penstock,,,Penstock,,,,0,N,"Nearest Polyline, no name check",n/a
77,77,25,Totney Drove Inlet No 3, ,EA,EA,River Brue,Penstock,343370,142810,51.181702,-2.811576,North Drain,1,1083,2.641466751,343368.7718,142807.6615,18? culvert with penstock,,,Penstock,,,,0,N,"Nearest Polyline, no name check",n/a
78,78,26,W03Totney Drove Penstock, ,LBIDB,LBIDB,Totney Drove,Penstock,339940,145460,51.205177,-2.8610867,North Drain,1,406,1.064557572,339938.9383,145460.0777,600mm undershot penstock,,,Penstock,,,,0,N,"Nearest Polyline, no name check",n/a
79,79,27,W05Totney Drove Trench Sheet Dam, ,LBIDB,LBIDB,Totney Drove,Trench Sheet Dam with circular flap,343230,144150,51.193736,-2.8137909,North Drain,1,404,7.381838121,343227.714,144142.981,Ineffective ? to be replace by tilting weir in 2010.,,,Unknown,,,,0.025,N,"Nearest Polyline, no name check",n/a
80,80,28,W04, ,LBIDB,LBIDB,Private ditch,Trench Sheet Dam,339850,145180,51.20265,-2.8623278,North Drain,1,1126,191.8652119,340039.1326,145147.7337,Potential feed to western end of plan area.,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
81,81,29,Browns Bank, ,UB IDB,UB IDB,Butter Ditch Godney Middle Rhyne,Syphon with upstream inlet,347980,142760,51.181692,-2.7456205,North Drain,1,990,10.85797175,347979.7652,142770.8554,Inverted syphon under River Sheppy with inlet penstock from Butter Ditch and secondary inlet from river on downstream side of siphon. Outfall culvert under public highway to G M Rhyne.,,,Unknown,,,,0,N,"Nearest Polyline, no name check",n/a
